,lipid,n,method,ML,R2
0,PE 38:4,closest,NA,catboost,0.3179
1,PE 38:4,closest,NA,xgboost,0.2806
2,PE 38:4,closest,NA,lr,0.2467
3,PE 38:4,closest,NA,ridge,0.2467
4,PE 38:4,closest,NA,knn,0.2068
5,PE 38:4,closest,NA,lasso,-0.0001
6,PE 38:4,closest,NA,dummy,-0.0001
7,PI-Cer(d38:0) ,closest,NA,catboost,0.3719
8,PI-Cer(d38:0) ,closest,NA,xgboost,0.3355
9,PI-Cer(d38:0) ,closest,NA,lr,0.254
10,PI-Cer(d38:0) ,closest,NA,ridge,0.254
11,PI-Cer(d38:0) ,closest,NA,knn,0.2251
12,PI-Cer(d38:0) ,closest,NA,lasso,-0.0003
13,PI-Cer(d38:0) ,closest,NA,dummy,-0.0003
14,LPC O-16:2,closest,NA,catboost,0.3686
15,LPC O-16:2,closest,NA,xgboost,0.3254
16,LPC O-16:2,closest,NA,lr,0.2932
17,LPC O-16:2,closest,NA,ridge,0.2932
18,LPC O-16:2,closest,NA,knn,0.2473
19,LPC O-16:2,closest,NA,lasso,-0.0001
20,LPC O-16:2,closest,NA,dummy,-0.0001
21,PE O-39:6,closest,NA,xgboost,0.0215
22,PE O-39:6,closest,NA,catboost,0.019
23,PE O-39:6,closest,NA,lr,0.0187
24,PE O-39:6,closest,NA,ridge,0.0187
25,PE O-39:6,closest,NA,lasso,-0.0001
26,PE O-39:6,closest,NA,dummy,-0.0001
27,PE O-39:6,closest,NA,knn,-0.1549
28,SM 36:1,closest,NA,catboost,0.433
29,SM 36:1,closest,NA,xgboost,0.4058
30,SM 36:1,closest,NA,knn,0.332
31,SM 36:1,closest,NA,lr,0.3165
32,SM 36:1,closest,NA,ridge,0.3165
33,SM 36:1,closest,NA,lasso,-0.0001
34,SM 36:1,closest,NA,dummy,-0.0001
35,HexCer 42:1;O3,closest,NA,catboost,0.3845
36,HexCer 42:1;O3,closest,NA,xgboost,0.3474
37,HexCer 42:1;O3,closest,NA,lr,0.2732
38,HexCer 42:1;O3,closest,NA,ridge,0.2732
39,HexCer 42:1;O3,closest,NA,knn,0.2492
40,HexCer 42:1;O3,closest,NA,lasso,-0.0002
41,HexCer 42:1;O3,closest,NA,dummy,-0.0002
42,PS 36:1,closest,NA,catboost,0.2933
43,PS 36:1,closest,NA,xgboost,0.2531
44,PS 36:1,closest,NA,lr,0.208
45,PS 36:1,closest,NA,ridge,0.208
46,PS 36:1,closest,NA,knn,0.1398
47,PS 36:1,closest,NA,lasso,-0.0003
48,PS 36:1,closest,NA,dummy,-0.0003
49,PC 38:1,closest,NA,catboost,0.4021
50,PC 38:1,closest,NA,xgboost,0.3604
51,PC 38:1,closest,NA,lr,0.298
52,PC 38:1,closest,NA,ridge,0.298
53,PC 38:1,closest,NA,knn,0.264
54,PC 38:1,closest,NA,lasso,-0.0002
55,PC 38:1,closest,NA,dummy,-0.0002
56,PG(36:1) ,closest,NA,catboost,0.3204
57,PG(36:1) ,closest,NA,xgboost,0.2932
58,PG(36:1) ,closest,NA,lr,0.2212
59,PG(36:1) ,closest,NA,ridge,0.2212
60,PG(36:1) ,closest,NA,knn,0.1945
61,PG(36:1) ,closest,NA,lasso,-0.0001
62,PG(36:1) ,closest,NA,dummy,-0.0001
63,PE(P-40:6) ,closest,NA,catboost,0.1429
64,PE(P-40:6) ,closest,NA,xgboost,0.1185
65,PE(P-40:6) ,closest,NA,lr,0.1148
66,PE(P-40:6) ,closest,NA,ridge,0.1148
67,PE(P-40:6) ,closest,NA,lasso,-0.0001
68,PE(P-40:6) ,closest,NA,dummy,-0.0001
69,PE(P-40:6) ,closest,NA,knn,-0.0206
70,PE 40:7,closest,NA,catboost,0.4057
71,PE 40:7,closest,NA,xgboost,0.363
72,PE 40:7,closest,NA,lr,0.3127
73,PE 40:7,closest,NA,ridge,0.3127
74,PE 40:7,closest,NA,knn,0.3009
75,PE 40:7,closest,NA,lasso,-0.0
76,PE 40:7,closest,NA,dummy,-0.0
77,PE(O-34:1) ,closest,NA,catboost,0.2556
78,PE(O-34:1) ,closest,NA,xgboost,0.1888
79,PE(O-34:1) ,closest,NA,lr,0.1875
80,PE(O-34:1) ,closest,NA,ridge,0.1875
81,PE(O-34:1) ,closest,NA,knn,0.1197
82,PE(O-34:1) ,closest,NA,lasso,-0.0
83,PE(O-34:1) ,closest,NA,dummy,-0.0
84,PG(40:4) ,closest,NA,catboost,0.3925
85,PG(40:4) ,closest,NA,xgboost,0.3647
86,PG(40:4) ,closest,NA,knn,0.2934
87,PG(40:4) ,closest,NA,lr,0.2851
88,PG(40:4) ,closest,NA,ridge,0.2851
89,PG(40:4) ,closest,NA,lasso,-0.0001
90,PG(40:4) ,closest,NA,dummy,-0.0001
91,PA 39:1,closest,NA,catboost,0.3265
92,PA 39:1,closest,NA,xgboost,0.2743
93,PA 39:1,closest,NA,lr,0.2301
94,PA 39:1,closest,NA,ridge,0.2301
95,PA 39:1,closest,NA,knn,0.1944
96,PA 39:1,closest,NA,lasso,-0.0003
97,PA 39:1,closest,NA,dummy,-0.0003
98,PC(40:7) ,closest,NA,catboost,0.2486
99,PC(40:7) ,closest,NA,xgboost,0.1941
100,PC(40:7) ,closest,NA,lr,0.159
101,PC(40:7) ,closest,NA,ridge,0.159
102,PC(40:7) ,closest,NA,knn,0.119
103,PC(40:7) ,closest,NA,lasso,-0.0002
104,PC(40:7) ,closest,NA,dummy,-0.0002
105,PE O-34:2,closest,NA,catboost,0.0535
106,PE O-34:2,closest,NA,xgboost,0.0493
107,PE O-34:2,closest,NA,ridge,0.0456
108,PE O-34:2,closest,NA,lr,0.0455
109,PE O-34:2,closest,NA,lasso,-0.0001
110,PE O-34:2,closest,NA,dummy,-0.0001
111,PE O-34:2,closest,NA,knn,-0.1092
112,PE 36:2,closest,NA,catboost,0.1916
113,PE 36:2,closest,NA,xgboost,0.1545
114,PE 36:2,closest,NA,lr,0.1424
115,PE 36:2,closest,NA,ridge,0.1424
116,PE 36:2,closest,NA,knn,0.0502
117,PE 36:2,closest,NA,lasso,-0.0001
118,PE 36:2,closest,NA,dummy,-0.0001
119,PC 35:2,closest,NA,catboost,0.228
120,PC 35:2,closest,NA,xgboost,0.1879
121,PC 35:2,closest,NA,lr,0.1707
122,PC 35:2,closest,NA,ridge,0.1707
123,PC 35:2,closest,NA,knn,0.0861
124,PC 35:2,closest,NA,lasso,-0.0002
125,PC 35:2,closest,NA,dummy,-0.0002
126,PE 37:2,closest,NA,catboost,0.2705
127,PE 37:2,closest,NA,xgboost,0.2365
128,PE 37:2,closest,NA,lr,0.203
129,PE 37:2,closest,NA,ridge,0.203
130,PE 37:2,closest,NA,knn,0.1562
131,PE 37:2,closest,NA,lasso,-0.0
132,PE 37:2,closest,NA,dummy,-0.0
133,PC(38:5) ,closest,NA,catboost,0.3326
134,PC(38:5) ,closest,NA,xgboost,0.2775
135,PC(38:5) ,closest,NA,lr,0.2546
136,PC(38:5) ,closest,NA,ridge,0.2546
137,PC(38:5) ,closest,NA,knn,0.2231
138,PC(38:5) ,closest,NA,lasso,-0.0001
139,PC(38:5) ,closest,NA,dummy,-0.0001
140,PE(42:6) ,closest,NA,catboost,0.1213
141,PE(42:6) ,closest,NA,lr,0.1028
142,PE(42:6) ,closest,NA,ridge,0.1028
143,PE(42:6) ,closest,NA,xgboost,0.1023
144,PE(42:6) ,closest,NA,lasso,-0.0002
145,PE(42:6) ,closest,NA,dummy,-0.0002
146,PE(42:6) ,closest,NA,knn,-0.0231
147,HexCer 40:1,closest,NA,catboost,0.3639
148,HexCer 40:1,closest,NA,xgboost,0.3269
149,HexCer 40:1,closest,NA,lr,0.2412
150,HexCer 40:1,closest,NA,ridge,0.2412
151,HexCer 40:1,closest,NA,knn,0.2207
152,HexCer 40:1,closest,NA,lasso,-0.0003
153,HexCer 40:1,closest,NA,dummy,-0.0003
