,Lipid,R2_mean,MAPE_mean
0,LPC O-16;2,0.6194,0.2738
1,LPC 16;0_dup,0.2252,0.3296
2,LPC O- 18;3,0.4014,0.2706
3,LPC O-18;2,0.3592,0.2506
4,LPC O-16;2_dup,0.5532,0.2573
5,LPC 15;1,0.7953,0.4463
6,LPC 18;1,0.3524,0.3137
7,LPC 18;0_dup,0.3204,0.3225
8,LPC 16;0,0.5004,0.2834
9,LPC O-18;3,0.2899,0.5146
10,LPC O-18;2_dup,0.238,0.5463
11,LPC 18;1_dup,0.3973,0.2799
12,LPC 18;0,0.4178,0.2446
13,LPC 20;4,0.486,0.2996
14,Cer 36;1,0.0726,0.5787
15,LPC 22;6,0.5126,0.3472
16,Cer 40;2,0.5956,0.4087
17,Cer 42;2,0.584,0.4313
18,PE(30;1) ,0.2545,0.7433
19,HexCer(d32;2) ,0.6941,0.297
20,PA(34;2) ,0.6363,0.21
21,PE(32;1) _dup,0.4617,0.5126
22,PE(32;1) ,0.5173,0.4325
23,PA(34;1),0.8229,0.2132
24,PG(30;1) _dup,0.5998,0.2384
25,PG(30;1) ,0.6483,0.2267
26,LPE(34;6) ,0.4087,0.5043
27,PC 31;0_dup,0.0974,0.9557
28,PA(P-38;6) ,0.1616,0.8327
29,SM 36;1,0.4633,0.3846
30,PC 32;1_dup,0.381,0.3091
31,PC 32;0,0.509,0.3409
32,PA 36;4,0.5509,0.3287
33,PI-Cer(t28;0) _dup,0.3031,0.8124
34,PA(36;3) ,0.3964,0.2371
35,PI-Cer(t30;2) ,0.2481,0.4969
36,PA 36;2,0.7154,0.1964
37,PI-Cer(t30;1) _dup,0.6858,0.192
38,PE(34;1) ,0.1267,0.9189
39,PA 36;1,0.5164,0.1939
40,PA 36;1_dup,0.6505,0.2144
41,SM 34;1,0.636,0.7289
42,PI-Cer(t30;0) ,0.3067,0.3722
43,PI-Cer(t30;0) _dup,0.5586,0.216
44,PC 31;0,0.5718,0.6313
45,PC(30;0) ,0.5188,0.2103
46,PG 32;0,0.3378,0.3585
47,PC 33;1,0.1694,1.0866
48,PC 33;0,0.5629,0.4057
49,PI-Cer(t28;0) ,0.535,0.2958
50,SM(d36;1) ,0.7883,0.2965
51,PC(32;1) ,0.7022,0.2544
52,PE-Cer(d38;1) ,0.3817,0.7685
53,PE 34;1,0.319,0.2529
54,PC 34;2,0.2464,0.4098
55,PC 34;1,0.314,0.3476
56,PC 34;0,0.2454,0.3263
57,PC 34;0_dup,0.3723,0.3456
58,PI-Cer(t30;0) _dup,0.082,0.9528
59,PE 38;6,0.2723,1.0514
60,PA 38;3,0.4118,0.2065
61,PI-Cer(t32;2) ,0.3527,0.235
62,PE(36;2) ,0.0931,1.027
63,PS(O-34;0(OH)) ,0.7489,0.431
64,SM(d36;2) ,0.8017,0.27
65,PA 39;1,0.6917,0.4875
66,PI-Cer(t32;1) ,0.1176,0.8243
67,PI-Cer(t32;1) _dup,0.6271,0.2229
