,Lipid,R2_mean,MAPE_mean
0,LPC O-16;2,0.331,0.4532
1,LPC 16;0_dup,0.0737,0.3888
2,LPC O- 18;3,0.1858,0.3669
3,LPC O-18;2,0.1457,0.3187
4,LPC O-16;2_dup,0.3111,0.3712
5,LPC 15;1,0.4015,1.1106
6,LPC 18;1,0.2143,0.3738
7,LPC 18;0_dup,0.1645,0.3721
8,LPC 16;0,0.2247,0.4744
9,LPC O-18;3,0.1391,0.6131
10,LPC O-18;2_dup,0.1132,0.6315
11,LPC 18;1_dup,0.2547,0.3681
12,LPC 18;0,0.2302,0.3118
13,LPC 20;4,0.219,0.4195
14,Cer 36;1,0.0198,0.6133
15,LPC 22;6,0.2333,0.5112
16,Cer 40;2,0.268,0.7006
17,Cer 42;2,0.2759,0.7145
18,PE(30;1) ,0.1262,0.8606
19,HexCer(d32;2) ,0.425,0.4738
20,PA(34;2) ,0.3566,0.3175
21,PE(32;1) _dup,0.2209,0.6799
22,PE(32;1) ,0.2484,0.6052
23,PA(34;1),0.4753,0.5076
24,PG(30;1) _dup,0.3367,0.3594
25,PG(30;1) ,0.3675,0.36
26,LPE(34;6) ,0.2139,0.6393
27,PC 31;0_dup,0.0519,0.9985
28,PA(P-38;6) ,0.0783,0.912
29,SM 36;1,0.2296,0.5688
30,PC 32;1_dup,0.1989,0.3792
31,PC 32;0,0.3001,0.5054
32,PA 36;4,0.336,0.4477
33,PI-Cer(t28;0) _dup,0.1844,0.9171
34,PA(36;3) ,0.1956,0.3005
35,PI-Cer(t30;2) ,0.1198,0.5638
36,PA 36;2,0.3478,0.4622
37,PI-Cer(t30;1) _dup,0.3331,0.3895
38,PE(34;1) ,0.0578,0.9671
39,PA 36;1,0.2475,0.2797
40,PA 36;1_dup,0.3217,0.3719
41,SM 34;1,0.1561,1.0437
42,PI-Cer(t30;0) ,0.1449,0.4434
43,PI-Cer(t30;0) _dup,0.2708,0.3236
44,PC 31;0,0.1665,0.7676
45,PC(30;0) ,0.2673,0.2917
46,PG 32;0,0.17,0.4289
47,PC 33;1,0.071,1.2054
48,PC 33;0,0.3569,0.6267
49,PI-Cer(t28;0) ,0.2935,0.4451
50,SM(d36;1) ,0.5167,0.5724
51,PC(32;1) ,0.4578,0.3649
52,PE-Cer(d38;1) ,0.1971,0.9437
53,PE 34;1,0.1274,0.323
54,PC 34;2,0.1026,0.4506
55,PC 34;1,0.1374,0.5149
56,PC 34;0,0.1072,0.3914
57,PC 34;0_dup,0.1713,0.4615
58,PI-Cer(t30;0) _dup,0.0267,1.0051
59,PE 38;6,0.1723,1.1751
60,PA 38;3,0.1994,0.2715
61,PI-Cer(t32;2) ,0.182,0.2927
62,PE(36;2) ,0.0326,1.075
63,PS(O-34;0(OH)) ,0.3525,0.8562
64,SM(d36;2) ,0.5113,0.5608
65,PA 39;1,0.3405,0.8038
66,PI-Cer(t32;1) ,0.0477,0.8869
67,PI-Cer(t32;1) _dup,0.3569,0.3452
68,PE O-36;2,0.2102,0.6145
69,PE 38;4,0.3711,0.6208
70,PA(38;1) ,0.2433,0.4281
71,SM 36;1_dup,0.4275,0.88
72,PC 32;1,0.4605,0.4859
73,PE 36;0,0.4201,0.7588
74,LBPA(34;1) ,0.4296,0.3891
75,PC 32;0_dup,0.4823,0.7648
76,PG(34;0) ,0.4809,0.7368
77,PC 35;1,0.2459,0.5922
78,PA 40;4,0.4004,0.4292
79,PC 35;0,0.1694,0.8746
80,PI-Cer(t30;1) ,0.2309,0.4119
81,PE 36;4,0.179,0.4037
82,PI-Cer(t30;0) _dup,0.1608,0.599
83,PE 36;3,0.1116,0.9672
84,PE 36;2,0.226,0.3741
85,HexCer 36;1,0.3154,0.7505
86,PC 34;1_dup,0.4707,0.4015
87,HexCer 40;2,0.3092,1.0121
88,PE O-39;7,0.2216,0.3618
89,CerP(t42;1) ,0.2683,0.3279
90,PC 34;0_dup,0.412,0.3447
91,PE 38;6_dup,0.3179,0.7798
92,PE O-39;6,0.0595,0.9495
93,PE(36;0) ,0.246,0.3544
94,PC 36;2,0.1446,0.3965
95,PA 40;6,0.1756,0.8382
96,PA 40;6_dup,0.2996,0.4481
97,PC 36;1_dup,0.2559,0.5654
98,PA(40;5) ,0.3258,0.4846
