,Lipid,R2_mean,MAPE_mean
0,LPC O-16;2,0.6092,0.2831
1,LPC 16;0_dup,0.2219,0.3302
2,LPC O- 18;3,0.3915,0.2739
3,LPC O-18;2,0.3525,0.2537
4,LPC O-16;2_dup,0.54,0.2638
5,LPC 15;1,0.7718,0.5173
6,LPC 18;1,0.3495,0.3132
7,LPC 18;0_dup,0.313,0.3244
8,LPC 16;0,0.4891,0.2905
9,LPC O-18;3,0.2768,0.522
10,LPC O-18;2_dup,0.2263,0.5533
11,LPC 18;1_dup,0.3911,0.2812
12,LPC 18;0,0.4059,0.2465
13,LPC 20;4,0.473,0.3075
14,Cer 36;1,0.0634,0.5846
15,LPC 22;6,0.4974,0.3585
16,Cer 40;2,0.5745,0.4515
17,Cer 42;2,0.5622,0.4718
18,PE(30;1) ,0.2418,0.7516
19,HexCer(d32;2) ,0.6808,0.3055
20,PA(34;2) ,0.6205,0.2156
21,PE(32;1) _dup,0.4463,0.5242
22,PE(32;1) ,0.5032,0.4432
23,PA(34;1),0.8064,0.2303
24,PG(30;1) _dup,0.5872,0.2451
25,PG(30;1) ,0.6346,0.2343
26,LPE(34;6) ,0.3962,0.5122
27,PC 31;0_dup,0.0928,0.953
28,PA(P-38;6) ,0.1508,0.838
29,SM 36;1,0.4531,0.3905
30,PC 32;1_dup,0.3707,0.3117
31,PC 32;0,0.5026,0.3466
32,PA 36;4,0.5418,0.3341
33,PI-Cer(t28;0) _dup,0.2946,0.8169
34,PA(36;3) ,0.3931,0.241
35,PI-Cer(t30;2) ,0.2394,0.5023
36,PA 36;2,0.6931,0.2096
37,PI-Cer(t30;1) _dup,0.6651,0.2017
38,PE(34;1) ,0.114,0.9223
39,PA 36;1,0.4995,0.1984
40,PA 36;1_dup,0.6365,0.2229
41,SM 34;1,0.5699,0.7771
42,PI-Cer(t30;0) ,0.2962,0.3749
43,PI-Cer(t30;0) _dup,0.5463,0.2213
44,PC 31;0,0.5203,0.6487
45,PC(30;0) ,0.5028,0.2145
46,PG 32;0,0.3263,0.362
47,PC 33;1,0.1618,1.09
48,PC 33;0,0.5601,0.4094
49,PI-Cer(t28;0) ,0.5247,0.3027
50,SM(d36;1) ,0.7783,0.3142
51,PC(32;1) ,0.695,0.2593
52,PE-Cer(d38;1) ,0.3679,0.7806
53,PE 34;1,0.3086,0.2562
54,PC 34;2,0.244,0.4122
55,PC 34;1,0.3069,0.3512
56,PC 34;0,0.2391,0.328
57,PC 34;0_dup,0.3666,0.3485
58,PI-Cer(t30;0) _dup,0.0737,0.9562
59,PE 38;6,0.2658,1.0574
60,PA 38;3,0.3942,0.2104
61,PI-Cer(t32;2) ,0.3403,0.2378
62,PE(36;2) ,0.0926,1.0267
63,PS(O-34;0(OH)) ,0.7249,0.475
64,SM(d36;2) ,0.7892,0.2857
65,PA 39;1,0.6696,0.5194
66,PI-Cer(t32;1) ,0.1072,0.8284
67,PI-Cer(t32;1) _dup,0.6162,0.2282
68,PE O-36;2,0.4531,0.4482
69,PE 38;4,0.5911,0.3775
70,PA(38;1) ,0.4113,0.3509
71,SM 36;1_dup,0.7859,0.3486
72,PC 32;1,0.7728,0.2404
73,PE 36;0,0.7709,0.3264
74,LBPA(34;1) ,0.7169,0.2326
75,PC 32;0_dup,0.8144,0.2956
76,PG(34;0) ,0.8111,0.2901
77,PC 35;1,0.4359,0.4089
78,PA 40;4,0.6768,0.2555
79,PC 35;0,0.3198,0.7294
80,PI-Cer(t30;1) ,0.4483,0.293
81,PE 36;4,0.3877,0.31
82,PI-Cer(t30;0) _dup,0.2923,0.5091
83,PE 36;3,0.1803,0.899
84,PE 36;2,0.4123,0.292
85,HexCer 36;1,0.6645,0.425
86,PC 34;1_dup,0.7521,0.2367
