,Lipid,R2_mean,MAPE_mean
0,LPC O-16;2,0.6125,0.2808
1,LPC 16;0_dup,0.2239,0.3291
2,LPC O- 18;3,0.3973,0.2715
3,LPC O-18;2,0.3568,0.2523
4,LPC O-16;2_dup,0.5415,0.2631
5,LPC 15;1,0.7748,0.5123
6,LPC 18;1,0.3522,0.3116
7,LPC 18;0_dup,0.3145,0.3234
8,LPC 16;0,0.4918,0.2887
9,LPC O-18;3,0.2763,0.5219
10,LPC O-18;2_dup,0.2252,0.553
11,LPC 18;1_dup,0.3938,0.2801
12,LPC 18;0,0.4091,0.2451
13,LPC 20;4,0.4792,0.3055
14,Cer 36;1,0.0613,0.5846
15,LPC 22;6,0.4979,0.3587
16,Cer 40;2,0.5794,0.4507
17,Cer 42;2,0.5648,0.4721
18,PE(30;1) ,0.2403,0.752
19,HexCer(d32;2) ,0.6814,0.3063
20,PA(34;2) ,0.6231,0.2151
21,PE(32;1) _dup,0.4474,0.5245
22,PE(32;1) ,0.5044,0.4431
23,PA(34;1),0.8079,0.2296
24,PG(30;1) _dup,0.5878,0.2452
25,PG(30;1) ,0.6353,0.2342
26,LPE(34;6) ,0.3939,0.5138
27,PC 31;0_dup,0.0894,0.9549
28,PA(P-38;6) ,0.1486,0.8387
29,SM 36;1,0.4537,0.3909
30,PC 32;1_dup,0.3701,0.3115
31,PC 32;0,0.5035,0.3454
32,PA 36;4,0.5426,0.3343
33,PI-Cer(t28;0) _dup,0.2958,0.8161
34,PA(36;3) ,0.402,0.2396
35,PI-Cer(t30;2) ,0.2419,0.5011
36,PA 36;2,0.6992,0.2082
37,PI-Cer(t30;1) _dup,0.6706,0.2002
38,PE(34;1) ,0.1139,0.9209
39,PA 36;1,0.5028,0.1977
40,PA 36;1_dup,0.6416,0.2209
41,SM 34;1,0.6144,0.7728
42,PI-Cer(t30;0) ,0.2949,0.3752
43,PI-Cer(t30;0) _dup,0.5492,0.2203
44,PC 31;0,0.5594,0.6425
45,PC(30;0) ,0.5072,0.2138
46,PG 32;0,0.3284,0.3614
47,PC 33;1,0.1625,1.0864
48,PC 33;0,0.5632,0.4082
49,PI-Cer(t28;0) ,0.5254,0.3021
50,SM(d36;1) ,0.7835,0.3175
51,PC(32;1) ,0.6977,0.2596
52,PE-Cer(d38;1) ,0.3687,0.7814
53,PE 34;1,0.3108,0.2553
54,PC 34;2,0.2558,0.4102
55,PC 34;1,0.3076,0.3515
56,PC 34;0,0.2401,0.3268
57,PC 34;0_dup,0.3682,0.3486
58,PI-Cer(t30;0) _dup,0.0718,0.9555
59,PE 38;6,0.2649,1.0574
60,PA 38;3,0.404,0.2086
61,PI-Cer(t32;2) ,0.3443,0.2369
62,PE(36;2) ,0.0932,1.0247
