,Lipid,R2_mean,MAPE_mean
0,LPC O-16;2,0.613,0.2805
1,LPC 16;0_dup,0.2239,0.3294
2,LPC O- 18;3,0.3974,0.271
3,LPC O-18;2,0.3571,0.2523
4,LPC O-16;2_dup,0.5427,0.2622
5,LPC 15;1,0.7741,0.5176
6,LPC 18;1,0.3521,0.3122
7,LPC 18;0_dup,0.3146,0.3239
8,LPC 16;0,0.4903,0.2889
9,LPC O-18;3,0.2803,0.5207
10,LPC O-18;2_dup,0.2281,0.5523
11,LPC 18;1_dup,0.3939,0.2801
12,LPC 18;0,0.4099,0.2453
13,LPC 20;4,0.477,0.306
14,Cer 36;1,0.0644,0.5846
15,LPC 22;6,0.4971,0.3594
16,Cer 40;2,0.5801,0.4511
17,Cer 42;2,0.5651,0.4716
18,PE(30;1) ,0.2426,0.7523
19,HexCer(d32;2) ,0.6824,0.3057
20,PA(34;2) ,0.6227,0.2148
21,PE(32;1) _dup,0.4482,0.5252
22,PE(32;1) ,0.5034,0.4436
23,PA(34;1),0.8097,0.2267
24,PG(30;1) _dup,0.5882,0.2445
25,PG(30;1) ,0.6352,0.234
26,LPE(34;6) ,0.3959,0.5137
27,PC 31;0_dup,0.094,0.9539
28,PA(P-38;6) ,0.1512,0.8398
29,SM 36;1,0.453,0.3933
30,PC 32;1_dup,0.3699,0.3113
31,PC 32;0,0.5044,0.3461
32,PA 36;4,0.5455,0.3331
33,PI-Cer(t28;0) _dup,0.2961,0.8178
34,PA(36;3) ,0.4034,0.2391
35,PI-Cer(t30;2) ,0.2451,0.501
36,PA 36;2,0.7011,0.2061
37,PI-Cer(t30;1) _dup,0.6719,0.1991
38,PE(34;1) ,0.1194,0.9208
39,PA 36;1,0.5045,0.1975
40,PA 36;1_dup,0.6421,0.2203
41,SM 34;1,0.6254,0.7684
42,PI-Cer(t30;0) ,0.2983,0.3742
43,PI-Cer(t30;0) _dup,0.5494,0.2205
44,PC 31;0,0.5627,0.6437
45,PC(30;0) ,0.5087,0.2133
46,PG 32;0,0.3311,0.3604
47,PC 33;1,0.1655,1.0846
48,PC 33;0,0.5623,0.4101
49,PI-Cer(t28;0) ,0.5264,0.3015
50,SM(d36;1) ,0.7826,0.323
51,PC(32;1) ,0.6999,0.2592
52,PE-Cer(d38;1) ,0.3691,0.7822
53,PE 34;1,0.3131,0.2545
54,PC 34;2,0.2625,0.4083
55,PC 34;1,0.3092,0.3505
56,PC 34;0,0.2413,0.3268
57,PC 34;0_dup,0.3703,0.3476
58,PI-Cer(t30;0) _dup,0.076,0.9564
59,PE 38;6,0.2664,1.0582
60,PA 38;3,0.4065,0.2085
61,PI-Cer(t32;2) ,0.3476,0.2363
62,PE(36;2) ,0.0995,1.0237
63,PS(O-34;0(OH)) ,0.7249,0.4734
64,SM(d36;2) ,0.7897,0.2863
65,PA 39;1,0.6712,0.519
66,PI-Cer(t32;1) ,0.1108,0.8283
67,PI-Cer(t32;1) _dup,0.6189,0.2263
68,PE O-36;2,0.4536,0.4479
69,PE 38;4,0.5953,0.3729
70,PA(38;1) ,0.4136,0.3494
71,SM 36;1_dup,0.79,0.3469
72,PC 32;1,0.7756,0.2379
73,PE 36;0,0.7743,0.3263
74,LBPA(34;1) ,0.7206,0.231
75,PC 32;0_dup,0.8171,0.2874
76,PG(34;0) ,0.8132,0.2855
77,PC 35;1,0.4401,0.405
78,PA 40;4,0.6776,0.2557
79,PC 35;0,0.3227,0.7303
80,PI-Cer(t30;1) ,0.4507,0.2921
81,PE 36;4,0.3932,0.3082
82,PI-Cer(t30;0) _dup,0.2934,0.5081
83,PE 36;3,0.1835,0.8986
84,PE 36;2,0.4162,0.2908
85,HexCer 36;1,0.6663,0.4242
86,PC 34;1_dup,0.7581,0.2372
87,HexCer 40;2,0.6574,0.5858
88,PE O-39;7,0.4346,0.2429
89,CerP(t42;1) ,0.4915,0.2393
90,PC 34;0_dup,0.6567,0.2475
91,PE 38;6_dup,0.4675,0.6555
92,PE O-39;6,0.1051,0.8987
93,PE(36;0) ,0.4857,0.2555
94,PC 36;2,0.3094,0.3345
95,PA 40;6,0.3145,0.7125
96,PA 40;6_dup,0.656,0.2775
97,PC 36;1_dup,0.5329,0.3884
98,PA(40;5) ,0.6979,0.2602
99,PI-Cer(t32;1) _dup,0.6423,0.25
100,PE O-38;5_dup,0.1271,0.8915
101,PE 38;4_dup,0.5602,0.4484
102,PE 40;6_dup,0.3465,1.1782
103,PG(36;1(OH)) ,0.2776,1.4415
104,PE 37;2,0.5691,0.2614
105,PE 40;4,0.3673,0.4628
106,SM 38;1,0.7133,0.3941
107,PC 34.1,0.7097,0.2878
108,PG(36;1) ,0.7057,0.2774
109,PE O-40;6,0.6472,0.2353
110,PE O-40;6_dup,0.7344,0.2752
111,PE 38;6_dup,0.6752,0.3503
112,PC 37;1,0.254,0.5147
113,PG(34;1(OH)) ,0.6168,0.3164
114,PA 42;4,0.3734,0.458
115,PE O-38;5,0.2504,0.2847
116,PC 36;4,0.776,0.3042
117,PI-Cer(t32;1) _dup,0.1943,0.848
118,PE 38;4_dup,0.5994,0.3608
119,PC 38;6,0.4934,0.3703
120,PC 36.2,0.4862,0.2501
121,HexCer 40;0,0.6108,0.4435
122,PC 35;2,0.4385,0.6706
123,HexCer 38;1,0.713,0.5108
124,PC 36;1,0.5758,0.2507
125,PA(42;8) ,0.4746,0.3663
126,PE(40;7) ,0.2851,0.8617
127,PC 35;1_dup,0.5613,0.237
128,PA 42;7,0.5444,0.3147
129,SM 42;2,0.4868,0.537
130,PE(P-40;6) ,0.3053,0.7783
131,PE 40;6,0.5819,0.3851
132,PG(36;1(OH)) _dup,0.4939,0.4732
133,PE(O-40;6) ,0.1857,0.9159
134,PE O-41;11,0.4104,0.3389
135,PC 36;4_dup,0.8122,0.3388
136,PE(42;6) ,0.2294,0.8378
137,PS(38;0) ,0.7579,0.4311
138,PG(38;4) ,0.7985,0.3156
139,PC O-39;9,0.7052,0.2776
140,PC 36;3,0.4376,0.2765
141,HexCer 40;1,0.762,0.5553
142,PG(38;3) ,0.383,0.3323
143,PE(40;9) ,0.6428,0.4204
144,PE O-42;8,0.51,0.2522
145,PG(38;2) ,0.4712,0.2288
146,SM 40;1,0.745,0.7174
147,PE(40;8) ,0.1423,0.9343
148,PC 36;1_dup,0.6552,0.2817
149,PG(38;1) ,0.6414,0.2589
150,PE 40;7,0.6391,0.3191
151,PS 36;1,0.6143,0.6064
152,PC 38;6_dup,0.7254,0.2961
153,PE 40;6_dup,0.6299,0.4518
154,PC 38;5,0.6519,0.3649
155,PG(36;1(OH)) _dup,0.6092,0.4016
156,PC 38;4_dup,0.7227,0.2966
157,HexCer 42;2,0.7579,0.6146
158,PE(40;4) ,0.4663,0.2678
159,Hex2Cer 32;1,0.4157,0.6041
160,PC 40;6,0.3646,0.4569
161,SM 42;2_dup,0.6259,0.6535
162,HexCer 40;2;O3,0.6892,0.4849
163,PI-Cer(d38;0) ,0.7546,1.0835
164,HexCer(t40;0) ,0.7023,0.472
165,HexCer(t40;0) _dup,0.7073,0.5013
166,SM(t40;1) ,0.5132,0.4712
167,PC 38;6_dup,0.7674,0.3544
168,PG(40;6) ,0.7528,0.3229
169,PC(38;5) ,0.6171,0.3773
170,PC(38;5) _dup,0.7562,0.3294
171,PS(40;1) ,0.7029,0.4196
172,PG(40;5) ,0.7251,0.2997
173,PC 38;4,0.7589,0.3294
174,HexCer 42;2_dup,0.7745,1.2741
175,HexCer(t42;2) ,0.7003,0.4451
176,PG(40;4) ,0.7447,0.3104
177,PS 38;4,0.5447,0.6495
178,PC 38;3,0.6528,0.2813
179,HexCer 42;1,0.7044,0.4275
180,HexCer 42;1_dup,0.7644,0.7995
181,PA(48;11) ,0.362,0.658
182,SM 42;2_dup,0.6322,0.517
183,PC 38;2,0.6835,0.3596
184,PE(40;2(OH)) ,0.4144,0.5961
185,PC 38;1,0.7521,0.3715
186,PG(40;1) ,0.717,0.4176
187,PC 40;6_dup,0.5622,0.3331
188,HexCer 42;2;O3,0.7367,0.8409
189,HexCer 42;1;O3,0.7383,1.0787
190,PGP(34;1) ,0.3769,0.6263
191,HexCer(t42;0) ,0.6881,0.4534
192,SM(t42;1) ,0.3877,0.5721
193,PC(40;7) ,0.6139,0.3174
194,PC 40;6_dup,0.6435,0.3825
195,PG(42;6) ,0.6207,0.3479
196,Hex2Cer 32;0,0.4399,0.5788
197,SHexCer 38;1;3,0.4142,0.4294
198,PE(44;11(OH)) ,0.0897,0.9378
199,PC(40;4) ,0.5256,0.304
200,PS(40;4) ,0.129,0.9467
201,PIP(O-36;5) ,0.1882,0.8714
