,withNA,noNA
ENSMUST00000028118,0.19931118315098892,0.04659452494671968
ENSMUST00000028280,0.037256608553082785,0.11588176446390036
ENSMUST00000030676,0.3967010957824285,0.1512679533039294
ENSMUST00000047328,0.106854296466343,0.3601063461182901
ENSMUST00000057021,0.1183650661710571,0.09099334509108065
ENSMUST00000090697,0.06393113058909834,0.060870349268330994
ENSMUST00000091554,0.023842249727768553,0.11182801516609395
ENSMUST00000162772,0.04030586366223653,0.04950919772875302
ENSMUST00000021284,0.21115854325542865,0.2381296332032836
ENSMUST00000022195,0.08255559107171692,0.08462676319888138
ENSMUST00000029876,0.3815730996893948,0.967147300429144
ENSMUST00000030533,0.0395610542188416,0.2654440345888014
ENSMUST00000037974,0.0092261662911394,0.1553089881106821
ENSMUST00000058007,0.8607212058821617,0.18058144342117885
ENSMUST00000014777,0.0621909908325132,0.09652502599829
ENSMUST00000023807,0.2051437181308073,0.16282885915602732
ENSMUST00000036060,0.040762472268375496,0.05060911282811494
ENSMUST00000123454,0.04252603837489775,0.4088019631029299
ENSMUST00000134921,0.1504266598570478,0.12671883228438333
ENSMUST00000155648,0.06950768811515977,0.016563649647536937
ENSMUST00000174661,0.07554813910560679,0.06377534392463466
ENSMUST00000203732,0.0867230623728364,0.09272010867780317
ENSMUST00000003754,0.2198917325331552,0.04233047069148958
ENSMUST00000021970,0.13218706964818747,0.05345410537975885
ENSMUST00000027991,0.04060079226637547,0.017579095311177788
ENSMUST00000032710,0.11031868303937653,0.33538177638649486
ENSMUST00000038364,0.10354473291762147,0.05349952810477766
ENSMUST00000039135,0.07268071592172717,0.1531877709135142
ENSMUST00000044624,0.03540362591111559,0.0539151147019862
ENSMUST00000053768,0.02614667977089373,0.04271174778431571
ENSMUST00000064770,0.1119278714467982,0.05600820163348568
ENSMUST00000067444,0.32945925810890453,0.37441614379593735
ENSMUST00000068581,0.34264856858717385,0.07647155826944939
ENSMUST00000095360,0.04126851344131499,0.06319039276806673
ENSMUST00000097648,0.09390068249286344,0.06907487921954356
ENSMUST00000111656,0.05723032748617992,0.08418134018193019
ENSMUST00000112335,0.2187487462966378,0.06621723922703217
ENSMUST00000112706,0.014821075078178595,0.10293089364100765
ENSMUST00000112832,0.2236220878423234,0.3067234282708382
