,Loss,R2,R2_no_scale
LPC O- 18:3,0.008279086802276743,0.24802001422620892,0.24802001413511748
LPC 15:1,0.003407644409617974,0.7708902714743998,0.77089027211955
LPC 20:4,0.003938628468528138,0.4346155396895573,0.4346155413023756
LPC 22:6,0.0064344555280312216,0.4278985093493536,0.42789850766040394
Cer 40:2,0.0023688935937943396,0.6064365232741663,0.6064365224443498
Cer 42:2,0.0015196385464746806,0.5817012975967323,0.581701298339456
HexCer(d32:2),0.009480491091477302,0.6515458607151758,0.6515458644611097
PE(32:1),0.007817423825387033,0.4853911847201677,0.48539118415805715
PA(34:1),0.005212110098802275,0.8070431534585906,0.8070431537979399
PG(30:1),0.004786554430800656,0.5850090920832891,0.5850090911288276
PA 36:4,0.006150226107018347,0.5237047019279595,0.5237047011322046
PA(36:3),0.0016752684357115165,0.2856157464331991,0.285615747536455
PA 36:2,0.006447794615376779,0.6173098872221671,0.6173098918613803
PE O-34:2,0.004706890826083079,0.09573523384013176,0.09573523254746344
PA 36:1,0.004870327859469053,0.5728472274582593,0.5728472267340337
SM 34:1,0.002854393105363988,0.19878906496423687,0.19878906899385757
PE(O-34:1),0.010563873265132672,0.4815303261140838,0.48153032661309253
PC(30:0),0.0041080421684065015,0.36925910541420454,0.36925910659091316
PG 32:0,0.007663794229549836,0.2167459372417772,0.21674593631801348
PC 33:1,0.0014198651960514986,0.10046639028980027,0.10046639092317373
PC 33:0,0.0030336208289768246,0.5391830601287995,0.5391830580302656
SM(d36:1),0.002380211701908659,0.7030067321882167,0.7030067270792435
PC(32:1),0.003032829002076209,0.6337878547088179,0.6337878540905784
PE-Cer(d38:1),0.01468307916368019,0.3587080725038095,0.3587080707609068
PE 34:1,0.0030285594951320422,0.1760868710656702,0.17608687395230838
PC 34:2,0.001157497401018033,0.11526517253915311,0.11526517036589012
PA 38:3,0.0030428237719681305,0.23614166610586285,0.2361416666281893
PI-Cer(t32:2),0.005390649946132588,0.18338893928671837,0.18338893206729182
PE(36:2),0.004730627963682382,0.06353539154227501,0.06353539277240434
PS(O-34:0(OH)),0.0033587422466392473,0.7016204126654529,0.7016204126731017
SM(d36:2),0.0066249838723731955,0.7421200662380023,0.7421200674270401
PA 39:1,0.0038522789271059296,0.6506495548072809,0.6506495530235255
PE O-36:2,0.006023084425259102,0.5433206289056228,0.5433206223827411
HexCer 36:0,0.0007980429705767055,0.5816353151626596,0.5816353131598702
PA(38:1),0.006460594332584812,0.33101849016622475,0.3310184908312591
PE 36:0,0.00532566796788637,0.7547688955900609,0.7547688955936834
LBPA(34:1),0.0037974147753691003,0.6358327236622087,0.6358327237488586
PG(34:0),0.006772584689319107,0.8043963970988571,0.8043963959513402
PA 40:4,0.005318905811585164,0.669496388566946,0.6694963888752617
PC 35:0,0.015918066698158307,0.2990446715027031,0.2990446712998214
PE 36:2,0.00539495327632816,0.32216468676914245,0.3221646875936144
HexCer 36:1,0.0038838907385254063,0.6553314865382114,0.6553314866887971
HexCer 40:2,0.001369818482834842,0.6605923886092837,0.6605923876294564
PE O-39:7,0.0015881500292153864,0.26926740897530144,0.269267408979568
CerP(t42:1),0.005014442750256825,0.34931567147347137,0.34931567070573183
PE(36:0),0.0029895885541541246,0.4225613140777325,0.4225613118591786
PC 36:2,0.0008840033389773386,0.24208900598844235,0.24208900445789014
PA(40:6(OH)),0.0034984276295490445,0.5968979517258657,0.5968979529151952
PA(40:5),0.0015142673222939926,0.6736662382970862,0.6736662385013096
PE 37:2,0.0007497961144762213,0.4010017358021507,0.40100173326730787
PE 40:4,0.0020975525775768864,0.2966137793672065,0.29661377498650504
SM 38:1,0.0012743876688572462,0.3959512204665483,0.39595122234371355
PC 34.1,0.00681376707501464,0.6424615665359061,0.6424615684724451
PG(36:1),0.006736478008580566,0.6388819390623917,0.6388819378857866
PE O-40:6,0.005425006163874496,0.5633870296319738,0.5633870304072726
PC 37:1,0.0053492650744009825,0.15024836613625758,0.15024836770769462
PG(34:1(OH)),0.00624956146056137,0.582830556356541,0.5828305558928214
PC 36.2,0.0012983399336101821,0.3102587923453321,0.3102587919976037
HexCer 40:0,0.002454930238349274,0.6163307976003991,0.6163307962596802
PC 35:2,0.006139627413170021,0.4131925319015518,0.4131925326290215
HexCer 38:1,0.0026694630460908507,0.712170794837923,0.7121707976310659
PA(42:8),0.007465564656620486,0.4304865855283605,0.43048658456854144
PE(40:7),0.006355560498144459,0.2622879880693139,0.26228798983609536
PA 42:7,0.001650808594377692,0.48987984085328523,0.4898798404193146
PE(P-40:6),0.004209395799076149,0.1981985473481087,0.1981985500432612
PE O-41:11,0.004956168778542762,0.2891833452597421,0.2891833461278344
PS(38:0),0.002464555305853173,0.7629178151971271,0.7629178137928744
PG(38:4),0.004125711351102323,0.7915589365941939,0.7915589369435354
PC O-39:9,0.0058988381555847525,0.7010304522626875,0.7010304497547672
PC 36:3,0.0012299487037854013,0.2684551310815708,0.26845512774883373
HexCer 40:1,0.002942417888928211,0.7677786355775018,0.7677786361814092
PG(38:3),0.003226673542242542,0.25850528906454207,0.2585052899735105
PE(40:9),0.006138118388334515,0.6121115001518946,0.6121114977281017
PE O-42:8,0.0022367821580112075,0.31524505652124996,0.31524505292352084
PG(38:2),0.0027920508852581787,0.2902692289660031,0.2902692279264702
SM 40:1,0.0013516188366540552,0.3706311186806106,0.370631111947428
PG(38:1),0.002955906272842646,0.5301236027898153,0.5301236016043193
PE 40:7,0.003060965839319631,0.6045525141154323,0.6045525149731686
PS 36:1,0.0008042254048115062,0.6176362539312581,0.617636253691113
PC 38:5,0.0013654954103479965,0.579612785475889,0.579612785300944
PE(40:4),0.0026550108007817996,0.3840776226132515,0.38407761530293777
Hex2Cer 32:1,0.0077942676083427335,0.3848264762659828,0.38482647968705663
HexCer 40:2;O3,0.0026785854757456983,0.6854862623805966,0.6854862618063252
PI-Cer(d38:0),0.0031554041807149097,0.7659734698898658,0.7659734702005588
PC(P-40:6),0.003109701765006324,0.7163608166240947,0.7163608166709892
HexCer(t40:0),0.002203343341222885,0.6712807734051399,0.6712807735712235
SM(t40:1),0.0053608407037543816,0.5335253923458056,0.5335253930559238
PG(40:6),0.002552894257269278,0.6700087510378033,0.670008746254808
PC(38:5),0.0028910675890724694,0.5241548203128447,0.5241548147929279
PS(40:1),0.0021953246844946196,0.6782676389395682,0.6782676435528306
PE-Cer(d46:3),0.002711779758180255,0.6550331969291958,0.6550332021420243
HexCer(t42:2),0.0036288034558721446,0.6773273617817541,0.6773273611496187
PG(40:4),0.0016708639113384525,0.7167898589408296,0.716789859103897
PS 38:4,0.00327446258766659,0.5353877988423186,0.5353877999769392
PC 38:3,0.0027767568302591024,0.6348830721205667,0.634883071688501
HexCer 42:1,0.0030453281919941445,0.7112397138983559,0.7112397135675413
PG(40:3),0.014263448255828653,0.35833737829978773,0.35833737892882545
PC 38:2,0.0014191963687757287,0.6363818212846257,0.6363818205837074
PE(40:2(OH)),0.012724888785547426,0.3797227335826673,0.3797227334744302
PC 38:1,0.0021380147075462214,0.7430361731885361,0.743036172622231
PG(40:1),0.0032818729569484297,0.7075767309972085,0.7075767306146322
HexCer 42:2;O3,0.003975704020164887,0.733093896079931,0.7330938963339321
HexCer 42:1;O3,0.003838614459732992,0.7409159137338253,0.7409159137634787
HexCer(t42:0),0.003479621388901612,0.6968314993277956,0.6968315001611785
SM(t42:1),0.0034347439759568896,0.3678947629320448,0.3678947632377034
PC(40:7),0.005496005779515492,0.5363284807292406,0.5363284823729838
PG(42:6),0.002078133664627272,0.5492598320708845,0.5492598334892114
Hex2Cer 32:0,0.004280918865803525,0.3939230964818309,0.39392309680160703
SHexCer 38:1;3,0.004971256596944399,0.3443209789698837,0.3443209781700556
